Hello
0	62054
1	20535
2	31707
3	22556
4	8779
5	7603
6	6547
7	10518
8	4135
9	3411
10	5720
11	2241
12	2146
13	2116
14	4159
15	2171
16	2283
17	2171
18	4515
19	2602
20	2668
21	4865
22	2225
23	2401
24	2299
25	3965
26	1824
27	1617
28	1515
29	2537
30	1120
31	1099
32	2217
33	1071
34	1159
35	1152
36	2372
37	1161
38	1079
39	1066
40	1945
41	924
42	898
43	1681
44	778
45	705
46	619
47	1119
48	543
49	468
50	771
51	354
52	351
53	343
54	577
55	277
56	236
57	236
58	342
59	140
60	175
61	303
62	137
63	119
64	92
65	152
66	78
67	72
68	60
69	81
70	38
71	36
72	23
73	24
74	11
75	6
76	10
77	5
78	5
79	6
80	6
81	1
82	1
83	8
84	4
85	1
86	0
87	1
88	0
89	1
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	0
